[22-01-2016 17:19:17,568] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:27:30,824] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:27:31,159] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:27:54,005] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:27:54,010] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:27:54,014] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:27:54,068] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:27:54,070] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:27:54,071] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:28:09,986] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:28:09,992] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:28:09,994] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:28:24,416] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:28:25,080] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:28:25,353] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:28:25,631] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:28:30,753] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:28:30,757] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:28:30,759] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:29:02,329] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:29:02,915] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:29:03,179] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:29:03,461] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:29:06,921] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:29:07,589] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:29:07,914] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:29:08,258] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:29:28,464] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:29:28,479] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:29:28,484] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:32:14,130] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:32:14,698] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:32:14,982] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:32:15,254] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:32:21,486] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:32:21,490] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:32:21,492] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:33:20,307] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:33:20,924] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:33:26,423] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:33:27,058] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:33:27,344] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:33:27,632] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:33:31,784] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:33:31,792] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:33:31,796] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:33:31,834] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:
[22-01-2016 17:33:37,241] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:33:38,119] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:33:38,434] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:33:38,822] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:33:56,850] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:33:57,553] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:33:57,871] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:33:58,211] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:34:11,266] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:34:11,278] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:34:11,282] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:36:13,282] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:36:14,015] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:36:14,392] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:36:14,696] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:36:16,704] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:36:16,708] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:36:16,710] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:36:16,735] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:rafalp81@gmail.com;javi@gmail.com;pepe@gmail.com;luis@gmail.com;laurarosalrubio@gmail.com;
[22-01-2016 17:36:16,759] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:36:16,761] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:36:16,762] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:36:16,763] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:rafalp81@gmail.com;javi@gmail.com;pepe@gmail.com;luis@gmail.com;laurarosalrubio@gmail.com;
[22-01-2016 17:36:33,311] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:36:33,896] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:36:34,184] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:36:34,467] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:36:37,363] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:36:37,367] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:36:37,376] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:36:37,410] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:rafalp81@gmail.com;javi@gmail.com;pepe@gmail.com;luis@gmail.com;laurarosalrubio@gmail.com;
[22-01-2016 17:37:05,975] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:37:05,980] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:37:05,982] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:37:05,984] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:rafalp81@gmail.com;javi@gmail.com;pepe@gmail.com;luis@gmail.com;laurarosalrubio@gmail.com;
[22-01-2016 17:37:57,406] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:37:58,009] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:37:58,297] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:37:58,589] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:47:27,648] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:47:28,222] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:47:28,485] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:47:28,757] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:47:28,757] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - DELETE FROM TABLA CLIENTES WHERE idccliente LIKE '%'
[22-01-2016 17:47:28,757] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - Vaciando tabla clientes
[22-01-2016 17:47:28,767] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - Error al vaciar la tabla clientes
[22-01-2016 17:47:28,768] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - Table/View 'TABLA' does not exist.
[22-01-2016 17:47:28,768] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - 42X05
[22-01-2016 17:47:54,015] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:47:54,615] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:47:58,463] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:47:59,055] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:47:59,313] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:47:59,580] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:47:59,580] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - DELETE FROM clientes WHERE idccliente LIKE '%'
[22-01-2016 17:47:59,580] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - Vaciando tabla clientes
[22-01-2016 17:47:59,591] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - Error al vaciar la tabla clientes
[22-01-2016 17:47:59,592] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - Column 'IDCCLIENTE' is either not in any table in the FROM list or appears within a join specification and is outside the scope of the join specification or appears in a HAVING clause and is not in the GROUP BY list. If this is a CREATE or ALTER TABLE  statement then 'IDCCLIENTE' is not a column in the target table.
[22-01-2016 17:47:59,593] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - 42X04
[22-01-2016 17:48:36,390] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:48:36,960] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:48:37,216] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:48:37,493] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:48:37,494] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - DELETE FROM clientes WHERE idcliente LIKE '%'
[22-01-2016 17:48:37,494] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - Vaciando tabla clientes
[22-01-2016 17:48:37,505] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - Error al vaciar la tabla clientes
[22-01-2016 17:48:37,506] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - No authorized routine named 'LIKE' of type 'FUNCTION' having compatible arguments was found.
[22-01-2016 17:48:37,507] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.vaciaTablaClientes() - 42884
[22-01-2016 17:49:06,846] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:49:07,430] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:49:07,716] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:49:07,990] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:49:07,991] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - DELETE FROM clientes
[22-01-2016 17:49:07,991] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - Vaciando tabla clientes
[22-01-2016 17:49:25,967] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - Botón guardar cliente pulsado
[22-01-2016 17:49:25,970] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:49:25,974] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:49:25,976] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:49:25,977] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - DELETE FROM clientes
[22-01-2016 17:49:25,978] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - Vaciando tabla clientes
[22-01-2016 17:49:26,041] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:49:26,045] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:49:26,046] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:49:26,046] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - DELETE FROM clientes
[22-01-2016 17:49:26,049] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.vaciaTablaClientes() - Vaciando tabla clientes
[22-01-2016 17:50:18,841] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:50:19,429] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:50:19,755] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:50:20,036] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:50:32,587] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - Botón guardar cliente pulsado
[22-01-2016 17:50:32,589] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:50:32,592] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:50:32,593] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:50:32,648] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:50:32,651] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:50:32,652] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:51:34,044] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - Botón guardar cliente pulsado
[22-01-2016 17:51:34,046] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:51:34,052] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:51:34,054] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:51:34,077] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:51:34,080] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:51:34,081] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:51:54,502] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:51:54,506] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:51:54,511] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:51:54,536] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:rafalp81@gmail.com;laurarosalrubio@gmail.com;
[22-01-2016 17:51:54,571] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.enviaMail() - Illegal semicolon, not in group
[22-01-2016 17:51:54,572] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.enviaMail() - ###########################################################
[22-01-2016 17:54:04,404] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:54:04,999] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:54:05,295] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:54:05,571] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:54:24,004] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:54:24,008] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:54:24,013] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:54:24,042] [AWT-EventQueue-0] INFO  vista.Inicio.mouseClicked() - listaEmails:rafalp81@gmail.com,laurarosalrubio@gmail.com,
[22-01-2016 17:54:24,090] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.enviaMail() - Enviando mensaje...
[22-01-2016 17:54:26,184] [AWT-EventQueue-0] ERROR controlador.ConexionBBDD.enviaMail() - 534-5.7.9 Application-specific password required. Learn more at
534 5.7.9  https://support.google.com/accounts/answer/185833 ko2sm6741372wjc.9 - gsmtp

[22-01-2016 17:54:26,185] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.enviaMail() - ###########################################################
[22-01-2016 17:56:09,630] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:56:10,210] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:56:10,515] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:56:10,788] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:56:13,761] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:56:13,766] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:56:13,770] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
